source_id,ra,dec
RR01_RUScl,00:02:48.1,-24:56:43.1
RR02_UUCet,00:04:05.1,-16:59:51.5
RR03_SWAnd,00:23:43.1,29:24:03.6
RR04_RXCet,00:33:38.3,-15:29:14.8
RR05_RUPsc,01:14:26.0,24:24:56.4
RR06_XXAnd,01:17:27.4,38:57:02.0
RR07_RRCet,01:32:08.2,01:20:30.2
RR08_SVScl,01:44:59.7,-30:03:33.4
RR09_XZCet,02:00:16.6,-16:20:46.0
RR10_SSFor,02:07:52.0,-26:51:57.7
RR11_RVCet,02:15:14.9,-10:48:00.7
RR12_XAri,03:08:30.9,10:26:45.2
RR13_SVEri,03:11:52.1,-11:21:14.1
RR14_ARPer,04:17:17.2,47:24:00.6
RR15_RXEri,04:49:44.3,-15:44:28.3
RR16_BBEri,04:53:37.5,-19:26:01.1
RR17_ULep,04:56:18.0,-21:13:02.0
RR18_RRGem,07:21:33.5,30:52:59.5
RR19_HKPup,07:44:46.8,-13:05:56.3
RR20_UYCam,07:58:58.9,72:47:15.4
RR21_V701Pup,08:19:32.8,-23:58:09.8
RR22_BBPup,08:24:22.7,-19:32:31.4
RR23_TTCnc,08:32:55.2,13:11:28.5
RR24_TTLyn,09:03:07.8,44:35:08.1
RR25_ASASJ090900-0410.4,09:09:00.1,-04:10:24.6
RR26_SZHya,09:13:48.8,-09:19:08.8
RR27_TSex,09:53:28.4,02:03:26.4
RR28_RRLeo,10:07:43.5,23:59:30.3
RR29_WZHya,10:13:24.1,-13:08:17.4
RR30_WYAnt,10:16:04.9,-29:43:42.4
RR31_WCrt,11:26:29.6,-17:54:51.7
RR32_TUUMa,11:29:48.5,30:04:02.4
RR33_SSLeo,11:33:54.5,-00:02:00.0
RR34_SUDra,11:37:56.6,67:19:47.1
RR35_BXLeo,11:38:02.1,16:32:36.2
RR36_STLeo,11:38:32.7,10:33:41.7
RR37_UUVir,12:08:35.1,00:27:24.3
RR38_ABUma,12:11:14.6,47:49:43.8
RR39_SWDra,12:17:46.6,69:30:38.2
RR40_CUCom,12:24:46.6,22:24:28.2
RR41_SVHya,12:30:30.5,-26:02:51.1
RR42_ATVir,12:55:10.5,-05:27:32.3
RR43_AMVir,13:23:33.3,-16:39:57.9
RR44_AUVir,13:24:48.0,-06:58:45.6
RR45_SXUma,13:26:13.5,56:15:25.1
RR46_RVUMa,13:33:18.1,53:59:14.6
RR47_STCVn,13:57:34.1,29:51:28.7
RR48_UYBoo,13:58:46.3,12:57:06.5
RR49_WCVn,14:06:28.0,37:49:41.5
RR50_TVBoo,14:16:36.6,42:21:35.7
RR51_STVir,14:27:39.1,-00:54:05.7
RR52_AFVir,14:28:09.8,06:32:43.9
RR53_RSBoo,14:33:33.2,31:45:16.6
RR54_TWBoo,14:45:05.9,41:01:44.1
RR55_APSer,15:14:00.9,09:58:51.8
RR56_V372Ser,15:17:35.0,-01:05:16.7
RR57_STBoo,15:30:39.2,35:47:04.3
RR58_VYSer,15:31:01.9,01:41:01.8
RR59_ANSer,15:53:31.1,12:57:40.1
RR60_AVSer,16:03:41.8,00:35:56.9
RR61_RVCrB,16:19:25.9,29:42:47.6
RR62_V445Oph,16:24:41.2,-06:32:30.0
RR63_V413Oph,16:25:11.1,-10:31:25.5
RR64_VXHer,16:30:40.8,18:22:00.6
RR65_VZHer,17:13:04.0,35:58:43.1
RR66_TWHer,17:54:31.2,30:24:37.7
RR67_BCDra,18:14:19.1,76:41:08.4
RR68_KXLyr,18:33:15.2,40:10:22.7
RR69_CNLyr,18:41:15.9,28:43:21.1
RR70_RZLyr,18:43:37.9,32:47:54.0
RR71_XZDra,19:09:42.6,64:51:32.1
RR72_BKDra,19:18:20.7,66:24:48.0
RR73_RRLyr,19:25:27.9,42:47:03.7
RR74_HD344365,19:27:56.1,24:20:50.5
RR75_V440Sgr,19:32:20.8,-23:51:12.8
RR76_XZCyg,19:32:29.3,56:23:17.5
RR77_V341Aql,20:32:31.6,00:35:07.0
RR78_AAAql,20:38:15.1,-02:53:25.0
RR79_DXDel,20:47:28.4,12:27:50.7
RR80_UYCyg,20:56:28.3,30:25:40.3
RR81_RVCap,21:01:28.9,-15:13:46.1
RR82_SWAqr,21:15:17.8,00:04:34.9
RR83_ZMic,21:16:22.7,-30:17:03.1
RR84_YZCap,21:19:32.4,-15:07:01.2
RR85_DMCyg,21:21:11.5,32:11:28.7
RR86_CGPeg,21:41:16.8,24:46:24.5
RR87_AVPeg,21:52:02.8,22:34:29.4
RR88_BVAqr,22:02:54.0,-21:31:32.2
RR89_DHPeg,22:15:25.6,06:49:21.5
RR90_RZCep,22:39:13.2,64:51:30.6
RR91_BHPeg,22:53:01.0,15:47:16.6
RR92_DNAqr,23:19:17.2,-24:12:58.8
RR93_BRAqr,23:38:32.9,-09:19:07.5
RR94_SUSct,18:52:52.1,-12:30:35.5
